audio_id	source_filename	source_relative_path	youtube_video_id	file_size_mb	duration_seconds	sample_rate_hz	channels	imported_at
audio-0318	0318 - Flunk, Anja Øyen Vister, Erik Ruud, Jo Bakke, Ole Kristian Wetten, Ulf Nygaard - TMTTUOT [HQt0oaR9JuA].webm	0318 - Flunk, Anja Øyen Vister, Erik Ruud, Jo Bakke, Ole Kristian Wetten, Ulf Nygaard - TMTTUOT [HQt0oaR9JuA].webm	HQt0oaR9JuA	4.671881675720215	278.3354375	48000	2	2026-09-09 04:10:01
audio-0319	0319 - Badmarsh & Shri - The Air I Breathe [VdchmO7EarY].webm	0319 - Badmarsh & Shri - The Air I Breathe [VdchmO7EarY].webm	VdchmO7EarY	5.78794002532959	385.73333333333335	48000	2	2026-09-09 04:10:01
audio-0321	0321 - High Water, Will Epstein - Changed the Locks [rDooreQVCK8].webm	0321 - High Water, Will Epstein - Changed the Locks [rDooreQVCK8].webm	rDooreQVCK8	4.928621292114258	310.9865	48000	2	2026-09-09 04:10:01
audio-0322	0322 - Blue States - Season Song [2h1I8KE26sg].webm	0322 - Blue States - Season Song [2h1I8KE26sg].webm	2h1I8KE26sg	3.899937629699707	255.32083333333333	48000	2	2026-09-09 04:10:02
audio-0323	0323 - Keren Ann - Keren Ann - Strange Weather [J8uHlYiY4G0].webm	0323 - Keren Ann - Keren Ann - Strange Weather [J8uHlYiY4G0].webm	J8uHlYiY4G0	5.1715593338012695	326.99733333333336	48000	2	2026-09-09 04:10:02
audio-0324	0324 - Virgil Howe - Someday [9ef7DL1te3I].webm	0324 - Virgil Howe - Someday [9ef7DL1te3I].webm	9ef7DL1te3I	4.176492691040039	251.26666666666668	48000	2	2026-09-09 04:10:02
audio-0325	0325 - Trip Hop Universe - Flunk - Chemistry And Math [8S4PSPbzjMw].webm	0325 - Trip Hop Universe - Flunk - Chemistry And Math [8S4PSPbzjMw].webm	8S4PSPbzjMw	3.081645965576172	194.5019583333333	48000	2	2026-09-09 04:10:02
audio-0327	0327 - Evgeny Grinko - Ice for Aureliano Buendia [Cs8YwzExZpU].webm	0327 - Evgeny Grinko - Ice for Aureliano Buendia [Cs8YwzExZpU].webm	Cs8YwzExZpU	3.963106155395508	241.11085416666663	48000	2	2026-09-09 04:10:02
audio-0328	0328 - J - Mich Gerber - By Your Side (feat. Bajka) [V6HRs72NrjI].webm	0328 - J - Mich Gerber - By Your Side (feat. Bajka) [V6HRs72NrjI].webm	V6HRs72NrjI	3.796417236328125	240.03629166666667	48000	2	2026-09-09 04:10:02
audio-0329	0329 - slackwaxmusic - Slackwax feat. Dan Reeder - Willow Tree [FTH7GmzI310].webm	0329 - slackwaxmusic - Slackwax feat. Dan Reeder - Willow Tree [FTH7GmzI310].webm	FTH7GmzI310	5.974761962890625	352.53697916666664	48000	2	2026-09-09 04:10:03
